"ID Number","_date","year","month","day","end day","display_month","Season","Category","Text","date"
924,,1923,2.00,14,0,,,,"Daily newspapers Dispatch and Leader ceased publication.",10/23/2001 13:25:19
925,,1923,3.00,4,0,,,,"Alexander Moore, of Pittsburgh, was appointed ambassador to Spain.",10/23/2001 13:25:33
926,,1923,6.00,5,0,,,,"The Pittsburgh Skin and Cancer Foundation opened a clinic at 1901 Fifth Avenue.",10/23/2001 13:27:06
927,,1923,6.00,6,0,,,,"Governor Pinchot created a Metropolitan Plan Commission for the city.",10/23/2001 13:27:35
928,,1923,8.00,0,0,,,,"Harry Greb, of Pittsburgh, defeated Johnny Wilson in New York to win the middleweight title he held for three years.",10/23/2001 13:27:47
929,,1923,8.00,0,0,,,,"The city's first zoning ordinance, one of the earliest in the United States, became effective amid claims of opposition that it would discourage construction in the city.",10/23/2001 13:28:01
930,,1923,10.00,2,0,,,,"Boulevard of the Allies was opened to traffic.",10/23/2001 13:28:24
931,,1923,10.00,24,0,,,,"Historic Mount Mercy Academy, on Fifth Avenue, suffered $100,000 damages in a fire which injured seven.",10/23/2001 13:28:36
932,,1923,10.00,24,0,,,,"In a speech at Syria Mosque, David Lloyd George, war-time Premier of Great Britain, pleaded for mercy to end wars.",10/23/2001 13:28:56
933,,1923,10.00,27,0,,,,"The last horse car on Sarah Street suspended operation.",10/23/2001 13:29:10
934,,1923,10.00,0,0,,,,"The Municipal Planning Association issued its final report; it included recommendations for canalization of the Ohio River, a river rail terminal, greater use of wharves, and a system of water-storage reservoirs for flood protection advocated by the 1911 Flood Commission.",10/23/2001 13:30:07
935,,1923,11.00,13,0,,,,"Twenty thousand persons attended formal opening of new banking room of Union Trust Company at Fifth and Grant.",10/23/2001 13:31:37
936,,1923,11.00,13,0,,,,"The first unit traffic-light system was installed as an experiment at all corners intersecting the Boulevard of the Allies in the downtown area.",10/23/2001 13:32:12
937,,1923,0.00,0,0,,,,"Jones and Laughlin became a corporation and sold its first stock on the open market.",10/23/2001 13:33:32
938,,1924,1.00,1,0,,,,"The Schenley Apartments, consisting of five structures in a new-type housing development, were ready for occupancy at monthly rents of $150 and up.",10/23/2001 13:33:45
939,,1924,1.00,4,0,,,,"The rivers hit a crest of 30.4 feet causing $5,000,000 damage, heaviest from a flood in the city since 1913.",10/23/2001 13:34:02
940,,1924,1.00,30,0,,,,"The Liberty Tubes were opened for a two-week chemical test.",10/23/2001 13:34:36
941,,1924,2.00,7,0,,,,"Parts of lower St. Clair Township were annexed.",10/23/2001 13:34:53
942,,1924,4.00,10,0,,,,"It was announced that the first city-county airport would be built and named in honor of Galbraith Perry Rodgers of the city, first aviator to span the U.S. on November 5, 1911.",10/23/2001 13:35:07
943,,1924,4.00,21,0,,,,"A few days after her final performance in The Closed Door here, Eleanora Duse, celebrated tragedienne on tour, died in her suite at the Schenley Hotel.",10/23/2001 13:35:47
944,,1924,5.00,10,0,,,,"The city's fifth trolley strike in 15 years started; the Downtown area was jammed with automobile traffic; the Pittsburgh Railways imported 900 electric railways operators and guards from New York to run trolleys.",10/23/2001 13:36:07
945,,1924,5.00,10,0,,,,"The Liberty Tubes were closed for further work on the ventilation system after 12 persons were overcome by gas; a trolley strike had caused a traffic jam in them.",10/23/2001 13:36:29
946,,1924,5.00,12,0,,,,"Motormen and conductors voted to return to work, ending the 39-hour streetcar strike.",10/23/2001 13:36:54
947,,1924,5.00,22,0,,,,"Seven police inspectors and three fire chiefs were demoted in the biggest police shake-up in 20 years.",10/23/2001 13:37:13
948,,1924,6.00,0,0,,,,"Rodgers Airfield, on a 41-acre tract near Aspinwall, was completed for operation as the first city-county airport.",10/23/2001 13:37:43
949,,1924,11.00,3,0,,,,"A total of $2,266,893 was pledged by 8341 Jewish residents of the city for construction of new Montefiore Hospital.",10/23/2001 13:38:01
950,,1924,11.00,4,0,,,,"Calvin Coolidge, in winning the presidential election, carried Allegheny County by 75,000 votes.",10/23/2001 13:38:18
951,,1924,11.00,6,0,,,,"Pitt Chancellor John G. Bowman announced plans for a ""52-story"" Gothic skyscraper to be built at a cost of $10,000,000 and known as the Cathedral of Learning.",10/23/2001 13:39:02
952,,1924,12.00,1,0,,,,"In the face of heated protests, the county commissioners asked for bids for the razing of the Ninth Street Bridge.",10/23/2001 13:39:26
953,,1924,0.00,0,0,,,,"Bettis Field, sponsored by Samuel Brendel, Harry Neal, and D. Parr Peat, of McKeesport, was established on the Pittsburgh-McKeesport road as a commercial flying enterprise.",10/23/2001 13:39:52
954,,1925,2.00,1,0,,,,"Burton W. Marsh, the city's first traffic engineer, submitted his first traffic survey to City Council, recommending strict parking regulations for the downtown area.",10/23/2001 13:40:39
955,,1925,3.00,8,0,,,,"H. P. Davis, president of Westinghouse, urged broadcasting stations to link themselves together by short wave for simultaneous broadcasting of programs.",10/23/2001 13:40:55
956,,1925,3.00,31,0,,,,"City Council enacted an ordinance eliminating the practice of compelling policemen to work two days a month without pay.",10/23/2001 13:41:25
957,,1925,4.00,1,0,,,,"A city assessor's report fixed total taxable values of Pittsburgh's 28 wards of realty at $990,000,000.",10/23/2001 13:41:48
958,,1925,4.00,13,0,,,,"A bill to create a Greater Pittsburgh by joining all boroughs and townships to the city was killed in committee at Harrisburg.",10/23/2001 13:42:05
959,,1925,4.00,22,0,,,,"George Mesta died.",10/23/2001 13:42:33
960,,1925,5.00,10,0,,,,"Evangeline Booth visited the city to dedicate the new Salvation Army home for business girls, located on the Boulevard of the Allies.",10/23/2001 13:42:51
961,,1925,5.00,13,0,,,,"County commissioners tabled action on a plan to remove the county jail from Its Ross Street site, purchase nearby sites, and erect a $3,500,000 county office skyscraper and jail.",10/23/2001 13:43:21
962,,1925,5.00,14,0,,,,"The largest electric locomotive in the world, 152 feet long and weighing 1,275,900 pounds, was given a test run at Westinghouse's East Pittsburgh yards.",10/23/2001 13:43:40
963,,1925,5.00,19,0,,,,"The fund for construction of the Cathedral of Learning reached a total of $5,597,782 -- more than twice as much as ever raised in the city's history for an educational or philanthropic purpose.",10/23/2001 13:44:19
964,,1925,5.00,23,0,,,,"The Young Men's and Women's Hebrew Association in Oakland was dedicated.",10/23/2001 13:45:02
965,,1925,6.00,26,0,,,,"The Philadelphia Company dedicated its new $3,500,000 building, on Sixth Avenue, and President Arthur W. Thompson announced a five-year, $100,000,000 utility improvement program.",10/23/2001 13:48:46
966,,1925,6.00,27,0,,,,"The Keystone Athletic Club announced purchase of the old St. Charles Hotel property, at Third Avenue and Wood, and plans for construction of a 20-story, $3,000,000 building.",10/23/2001 13:49:15
967,,1925,7.00,8,0,,,,"Plans were announced for erection of another Downtown skyscraper -- the Law and Finance Building.",11/1/2001 10:55:18
968,,1925,9.00,26,0,,,,"Pitt Stadium, with a capacity of 60,000, was formally opened with the Panthers defeating Washington and Lee, 28 to 0, before a crowd of 20,000.",11/1/2001 10:56:11
969,,1925,10.00,15,0,,,,"The Pittsburgh Pirates defeated the Washington Senators, 9 to 7, in the seventh and deciding game of the World Series before 42,856 at Forbes Field; Downtown stores suspended business, and traffic stopped as Pittsburghers celebrated the victory.",11/1/2001 10:56:16
970,,1925,11.00,6,0,,,,"United States Steel stock jumped 5-1/2 points in one day to 138, highest quotation ever recorded to this date.",11/1/2001 10:57:36
971,,1925,11.00,0,0,,,,"General W. W. Atterbury, president of the Pennsylvania Railroad, in Pittsburgh with other railroad officials to inspect the $14,000,000 station and street improvement program, stated: ""While Pittsburgh has called for all the Pennsylvania Railroad could produce, Pittsburgh itself has been our greatest producer."" Motor buses were introduced on a large scale on city streets.",11/1/2001 10:58:09
972,,1925,0.00,0,0,,,,"The United States Steel Corporation developed a process for producing seamless pipe 16 inches in diameter, more than twice the size previously possible.",11/1/2001 10:59:41
973,,1926,1.00,5,0,,,,"R. B. Mellon, president of the Mellon National Bank, was elected chairman of Allegheny County Planning Commission.",11/1/2001 11:00:02
974,,1926,1.00,26,0,,,,"Marcus Loew announced plans to erect the largest theater in Pennsylvania, a 4000-seat house on the site of the old Hotel Anderson, Sixth and Penn, at cost of $2,500,000.",11/1/2001 11:00:45
975,,1926,2.00,3,0,,,,"Twenty men were killed in an explosion that wrecked a mine of the Pittsburgh Terminal Company at Horning, near Castle Shannon.",11/1/2001 11:01:03
976,,1926,3.00,0,0,,,,"The Pittsburgh Symphony Orchestra, reorganized and financed by its own musicians, began playing public concerts.",11/1/2001 11:01:35
977,,1926,5.00,18,0,,,,"Pittsburgh voters approved a $19,902,000 bond issue for various city improvements.",11/1/2001 11:01:58
978,,1926,6.00,12,0,,,,"Approximately $60,000,000 was being expended to improve steel mills in the area.",11/1/2001 11:02:18
979,,1926,6.00,13,0,,,,"The new Seventh Street Bridge was opened.",11/1/2001 11:02:34
980,,1926,6.00,28,0,,,,"Plans were announced for a $7,000,000 campaign for establishment of a Presbyterian ""medical center.""",11/1/2001 11:02:47
981,,1926,6.00,28,0,,,,"Duquesne Light Company announced a plan to build the ""largest and most modern"" electric power plant in the world at Shippingport on the Ohio River at a cost of $40,000,000.",11/1/2001 11:03:43
982,,1926,9.00,27,0,,,,"Ground was broken for the University of Pittsburgh's Cathedral of Learning.",11/1/2001 11:04:35
983,,1926,11.00,6,0,,,,"Official opening was held for Armstrong Tunnels, named for Commissioner Joseph G. Armstrong.",11/1/2001 11:05:09
984,,1926,11.00,13,0,,,,"An air show featured dedication of Bettis Field as a Pittsburgh-McKeesport airport.",11/1/2001 11:05:36
985,,1926,11.00,27,0,,,,"Carnegie Tech upset Notre Dame, 19 to 0 at Forbes Field before 45,000.",11/1/2001 11:06:25
986,,1926,11.00,0,0,,,,"Double-deck trolleys, declared too dangerous for Pittsburgh, were abandoned.",11/1/2001 11:06:44
987,,1926,0.00,0,0,,,,"The $1,650,000 Webster Hall, on Fifth Avenue, was erected as a hotel to specialize in club residences for men.",11/1/2001 11:07:10
988,,1927,4.00,1,0,,,,"Forty-five thousand miners in the district joined in a nationwide coal strike.",11/1/2001 11:07:32
989,,1927,4.00,21,0,,,,"Carrying .a single pouch of mail, an open cockpit Waco belonging to Clifford Ball, Inc., the city's pioneer airline, inaugurated airmail service between Pittsburgh and Cleveland.",11/1/2001 11:07:44
990,,1927,4.00,24,0,,,,"After a Sunday concert, which drew an audience of 4000, nine members of the executive board of the Pittsburgh Symphony were arrested on charges of violating ""blue laws"". All were found guilty and fined $25 each by Alderman Samuel McKinley; group included Richard S. Rauh, secretary of the society; Edward Specter, chairman of the orchestra committee; Elias Breeskin, assistant conductor, and seven others.",11/1/2001 11:08:35
991,,1927,6.00,3,0,,,,"Carrick Borough was annexed to the city.",11/1/2001 11:09:18
992,,1927,6.00,12,0,,,,"The Buhl Foundation was established with a $15,000,000 gift announced by Henry Buhl, Jr.",11/1/2001 11:09:28
993,,1927,6.00,12,0,,,,"The New Point Bridge was dedicated.",11/1/2001 11:09:48
994,,1927,6.00,25,0,,,,"Frick Park, 380 acres in Squirrel Hill willed to the city by H. C. Frick, was opened for public use.",11/1/2001 11:10:44
995,,1927,8.00,2,0,,,,"After a series of negotiations the Post-Gazette came into being under ownership of Paul Block, and the Sun-Telegraph was organized under ownership of William Randolph Hearst.",11/1/2001 11:11:11
996,,1927,8.00,3,0,,,,"Charles Lindbergh, the first to fly alone over the Atlantic to Europe, was feted by the city.",11/1/2001 11:12:14
997,,1927,8.00,12,0,,,,"The widening of Grant Street, Downtown, was started.",11/1/2001 11:12:40
998,,1927,10.00,8,0,,,,"The Pittsburgh Pirates lost the fourth straight game of the World Series, 4 to 3, to the New York Yankees.",11/1/2001 11:13:21
999,,1927,10.00,13,0,,,,"President Coolidge was guest speaker at the Carnegie Institute's 31st Founders Day exercises at Carnegie Music Hall. He also appeared before Carnegie Tech students in accordance with a promise made to them by Samuel H. Church, Institute president, and made a speech -- a nine word address: ""I shall not break Colonel Church's promise to you.""",11/1/2001 11:14:05
1000,,1927,10.00,0,0,,,,"The new Roosevelt Hotel, at Sixth Street and Penn, was opened.",11/1/2001 11:15:33
1001,,1927,12.00,27,0,,,,"J. P. Morgan, Jr., New York financier, became chairman of the board of the United States Steel Corporation.",11/1/2001 11:16:00
1002,,1927,0.00,0,0,,,,"Construction crews began erecting the Pittsburgher Hotel on Diamond Street.",11/1/2001 11:16:31
1003,,1928,2.00,27,0,,,,"Stanley Theater opened.",11/1/2001 11:16:51
1004,,1928,3.00,27,0,,,,"The Liberty Bridge was dedicated and opened to public use.",11/1/2001 11:17:03
1005,,1928,5.00,2,0,,,,"Air express service was inaugurated between Pittsburgh and Cleveland by the Clifford Ball Air Line; 1000 spectators watched Pilot Dewey Noyes take off in a plane carrying first express parcels.",11/1/2001 11:17:36
1006,,1928,5.00,31,0,,,,"The National Elimination Balloon Races, witnessed by 150,000 persons at Bettis Field, resulted in the death of two balloonists -- W. W. Morton and Lieutenant Paul Evert, of the United States Army.",11/1/2001 11:18:09
1007,,1928,5.00,0,0,,,,"The 23-story Clark Building, on Liberty Avenue, was ready for occupancy.",11/1/2001 11:18:38
1008,,1928,6.00,26,0,,,,"Allegheny County voters approved a $43,680,000 bond issue for public works, including $6,000,000 for a town hall, $2,550,000 for a county office building, and $10,930,000 for new boulevards and highways.",11/1/2001 11:18:55
1009,,1928,7.00,3,0,,,,"Fire destroyed the Cameo Theater building at 347 Fifth Avenue.",11/1/2001 11:19:25
1010,,1928,7.00,12,0,,,,"State Superior Court approved Sunday symphony concerts for Pittsburgh; Sabbath Association announced it intended nevertheless to demand enforcement of the blue laws of 1794.",11/1/2001 11:19:40
1011,,1928,7.00,16,0,,,,"The first film ""talkie,"" titled Tenderloin, was introduced at the Stanley Theater. Previewers said it had less than 10 minutes' ""audible"" dialogue, and one commented the ""project is so new that its possibilities scarcely can be gauged yet.""",11/1/2001 11:20:12
1012,,1928,7.00,17,0,,,,"Called the ""scenic boulevard of Pittsburgh,"" Mount Washington Roadway, to the top of Mount Washington, was opened with a mile-long parade followed by a celebration.",11/1/2001 11:21:22
1013,,1928,8.00,8,0,,,,"Westinghouse staged what was said to be the world's first demonstration of ""motion pictures broadcast by radio"" -- ""television"" -- in its East Pittsburgh laboratories. The idea was worked out by Dr. Frank Conrad, assistant chief engineer at Westinghouse.",11/1/2001 11:21:53
1014,,1928,8.00,15,0,,,,"Air passenger service from the city was instituted.",11/1/2001 11:23:20
1015,,1928,10.00,28,0,,,,"Site for a new county airport (Lebanon Church Road) was chosen.",11/1/2001 11:23:35
1016,,1928,11.00,6,0,,,,"In the election of Herbert Hoover as President, Allegheny County gave Hoover 213,681 votes, and Al Smith 159,718.",11/1/2001 11:23:55
1017,,1928,11.00,26,0,,,,"A constitutional amendment to permit Pittsburgh and Allegheny County to consolidate into a metropolitan district was approved by a state-wide vote.",11/1/2001 11:27:15
1018,,1928,11.00,19,0,,,,"Two thousand scientists, representing 20 different nations, assembled at Carnegie Tech for the opening of the Second International Conference on Bituminous Coal, initiated in 1926 by Tech President Thomas S. Baker.",11/1/2001 11:28:55
1019,,1929,1.00,11,0,,,,"Declaring that the city should assume leadership in the fight against air pollution, City Council authorized installation of smoke prevention equipment at the city's pumping station at Brilliant.",11/1/2001 11:30:43
1020,,1929,1.00,13,0,,,,"President James A. Farrell, of the United States Steel Corporation, announced a $20,000,000 expansion program for subsidiary plants at Duquesne, McKeesport, and Braddock.",11/1/2001 11:32:12
1021,,1929,2.00,1,0,,,,"The 37-story Grant Building, tallest in the city and topped by an airplane beacon spelling out Pittsburgh in Morse code, was ready for occupancy.",11/1/2001 11:33:10
1022,,1929,2.00,7,0,,,,"A metropolitan charter bill, designed to make Pittsburgh the fifth largest city in the United States with a consolidated population of 1,319,684, was prepared for the State Legislature.",11/1/2001 11:33:41
1023,,1929,3.00,0,0,,,,"The 32-story Koppers Building was opened to tenants.",11/1/2001 11:34:01
1024,,1929,6.00,25,0,,,,"The Pittsburgh Metropolitan District Charter, submitted to an Allegheny County vote, failed to acquire the required two thirds majority in each of 62 municipalities, a majority of the total in the county; city voters were eight to one in favor of the bill, but only 47 municipalities cast two thirds vote.",11/1/2001 11:34:38
1025,,1929,6.00,28,0,,,,"A five-day work week was adopted by the building trades of Pittsburgh.",11/1/2001 11:35:22
1026,,1929,7.00,12,0,,,,"Contract for the new airport on Lebanon Church Road was signed.",11/1/2001 11:35:55
1027,,1929,9.00,24,0,,,,"Mount Mercy College for Women was opened.",11/1/2001 11:36:24
1028,,1929,9.00,0,0,,,,"Freda Seund became the first woman in Pittsburgh to be instructed in flying and to solo at a Pittsburgh airfield.",11/1/2001 11:36:52
1029,,1929,10.00,18,0,,,,"A crowd of 100,000 persons viewed a river pageant marking the completion of the canalization of the Ohio River.",11/1/2001 11:37:34
1030,,1929,11.00,5,0,,,,"Pittsburgh residents voted overwhelmingly in favor of adoption of voting machines in Pennsylvania.",11/1/2001 11:37:52
1031,,1929,11.00,5,0,,,,"R. B. Mellon, president of Mellon National Bank, resigned as chairman of the County Planning Commission in order, he said, to make a trip to Europe. His action was construed as an indication that a proposal to built a $6,000,000 town hall would be delayed.",11/1/2001 11:38:25
1032,,1929,12.00,16,0,,,,"Maurice Falk announced creation of a $10,000,000 fund by the Maurice and Laura Falk Foundation for welfare and charitable purposes.",11/1/2001 11:38:56
1033,,1929,12.00,21,0,,,,"Saw Mill Run Boulevard was opened to the public.",11/1/2001 11:39:20
1034,,1929,12.00,0,0,,,,"The Gulf Oil Company was making final plans for erection of its 11 million dollar office building at Seventh and Grant.",11/1/2001 11:39:39
1035,,1930,1.00,3,0,,,,"The United States purchased land for a new Post Office Building.",11/1/2001 11:39:56
1036,,1930,1.00,12,0,,,,"Pittsburgh taxi drivers held a mass meeting at Duquesne Gardens to begin a strike against the Green and Yellow Cab companies in protest against what they claimed was a pay cut.",11/1/2001 11:40:31
1037,,1930,1.00,28,0,,,,"United States Steel reported record peacetime profits of $197,531,349.",11/1/2001 11:40:52
1038,,1930,2.00,14,0,,,,"Police used tear-gas bombs to disperse a crowd on Center Avenue; two cabs were burned and 10 persons arrested as taxi strike violence continued.",11/1/2001 11:41:28
1039,,1930,4.00,16,0,,,,"The cornerstone was laid for the new $2,700,000 county office building at Ross and Diamond Streets.",11/1/2001 11:42:06
1040,,1930,7.00,9,0,,,,"Jones and Laughlin announced a $20,000,000 expansion program for its plants in Pittsburgh and Aliquippa.",11/1/2001 11:42:46
1041,,1930,7.00,10,0,,,,"The Better Traffic Committee recommended a ban on all Downtown curb parking; it also urged Mayor Charles H. Kline to eliminate the practice of ""fixing"" traffic tags.",11/1/2001 11:43:16
1042,,1930,7.00,11,0,,,,"The Baltimore and Ohio Railroad applied for a federal permit to build a river-rail terminal on the Monongahela River.",11/1/2001 11:43:59
1043,,1930,8.00,27,0,,,,"Sara Soffel was sworn in by Judge Richard Kennedy as judge of County Court, the first woman jurist in Pennsylvania.",11/1/2001 11:44:43
1044,,1930,9.00,0,0,,,,"Construction work started on the $6,000,000 Mellon Institute building at Fifth and Bellefield.",11/1/2001 11:45:57
1045,,1930,9.00,18,0,,,,"Chamber of Commerce recommended to the United States Census Bureau a Greater Pittsburgh metropolitan area with 4043 square miles in 13 counties of Pennsylvania, Ohio, and West Virginia with a population of 2,203,000.",11/1/2001 11:47:48
1046,,1930,10.00,2,0,,,,"Rear Admiral Richard E. Byrd addressed 3000 at Syria Mosque during National Safety Congress here.",11/1/2001 11:51:21
1047,,1930,10.00,12,0,,,,"Eucharistic Congress was held in Forbes Field.",11/1/2001 11:51:44
1048,,1930,10.00,21,0,,,,"City Council passed an emergency proposal to set up a fund of $100,000 to aid families in need.",11/1/2001 11:52:12
1049,,1930,10.00,21,0,,,,"McCann and Company opened for business in its new 10-story building at Diamond and Ferry Streets.",11/1/2001 11:52:29
1050,,1930,11.00,25,0,,,,"The Mississippi Valley Association, in convention at St. Louis, endorsed proposed construction of an Ohio River-Lake Erie canal at the request of Pittsburgh and Youngstown business interests.",11/1/2001 11:52:49
1051,,1930,11.00,25,0,,,,"A capacity audience filled the Stanley Theater for a benefit show for Pittsburgh unemployed and needy families; among those featured were Phil Baker, Fred Stone and Dick Powell.",11/1/2001 11:53:33
1052,,1930,12.00,30,0,,,,"A deed of trust filed by Andrew Mellon created the A. W. Mellon Educational and Charitable Trust.",11/1/2001 11:54:11
1053,,1930,12.00,0,0,,,,"The Gulf Oil Company was engaged in the construction of a research center at Craft Avenue and the Boulevard of the Allies.",11/1/2001 11:54:29
1054,,1930,0.00,0,0,,,,"Population: 669,817.",11/1/2001 11:54:54
1055,,1930,0.00,0,0,,,,"KDKA announced the erection of a powerful transmitter at Saxonburg.",11/1/2001 11:55:13
1056,,1931,1.00,15,0,,,,"The Chamber of Commerce reported that 27 new manufacturing plants and warehouses, representing investments totaling $2 9,502,-000, started operations in the Pittsburgh district in 1930.",11/1/2001 11:55:26
1057,,1931,1.00,16,0,,,,"Their funds exhausted, relief agencies warned that approximately 47,750 Pittsburgh district residents would ""begin starving"" immediately.",11/1/2001 11:55:55
1058,,1931,1.00,27,0,,,,"Gulf Oil opened a new refinery on Neville Island.",11/1/2001 11:56:44
1059,,1931,2.00,5,0,,,,"McClintock-Marshall and Bethlehem Steel Companies merged.",11/1/2001 11:56:57
1060,,1931,3.00,11,0,,,,"The Homer Smith, pleasure steamboat, burned at the North Side wharf.",11/1/2001 11:57:49
1061,,1931,3.00,17,0,,,,"The county commissioners voted $3,000,000 for construction of the Homestead High Level Bridge.",11/1/2001 11:58:11
1062,,1931,5.00,11,0,,,,"Pittsburgh's first police radio ""cruisers"" were patrolling the streets as WPOU, police radio station, began broadcasting.",11/1/2001 11:58:51
1063,,1931,6.00,3,0,,,,"Buhl Foundation announced plans for a 45-acre housing development on Mount Washington to be known as Chatham Village, the first low-rent community housing project in the nation.",11/1/2001 11:59:23
1064,,1931,6.00,14,0,,,,"Florenz Ziegfeld's Follies opened the new season of their 23rd edition at the Nixon Theater; among those featured in the cast were Helen Morgan, Gladys Glad, Ruth Etting, Harry Richman, and, in the chorus, two Pittsburgh girls -- Zecil Silvonia and Mony Lange.",11/1/2001 12:01:25
1065,,1931,6.00,25,0,,,,"Mayor Kline was indicted with Bertram L. Succop, former director of supplies, on 49 counts of misdemeanor in office.",11/1/2001 12:02:33
1066,,1931,6.00,30,0,,,,"About 5000 hunger strikers paraded in the city streets.",11/1/2001 12:02:56
1067,,1931,7.00,23,0,,,,"Forty-two aged men and women were killed in or died from the effects of a fire that destroyed the Little Sisters of the Poor Home at Penn Avenue and South Aiken; 157 others were hurt.",11/1/2001 12:03:26
1068,,1931,7.00,29,0,,,,"Wiley Post and Harold Gatty, renowned round-the-world fliers, were given an enthusiastic welcome in Pittsburgh.",11/1/2001 12:04:02
1069,,1931,8.00,19,0,,,,"The McKees Rocks-Ohio River Boulevard Bridge was opened.",11/1/2001 12:04:25
1070,,1931,9.00,15,0,,,,"For the first time in Allegheny County, voting machines -- 186 of them -- were used in the primary election.",11/1/2001 12:04:46
1071,,1931,9.00,21,0,,,,"The Bank of Pittsburgh announced its decision to close to conserve interests of depositors and stockholders.",11/1/2001 12:05:49
1072,,1931,9.00,30,0,,,,"The 583 feet tall Gulf Building went into construction.",11/1/2001 12:06:09
1073,,1931,10.00,28,0,,,,"The Edgar Thomson works in Braddock prepared to re-open; plans were announced to reemploy about 7000 at Homestead and Braddock.",11/1/2001 12:06:29
1074,,1931,12.00,4,0,,,,"Hunger Marchers, en route in trucks and autos to Washington, D.C., to urge an unemployment insurance bill, stopped over in Pittsburgh and requested food and shelter from Helping Hand Society headquarters.",11/1/2001 12:06:55
1075,,1931,12.00,22,0,,,,"Five million dollars were distributed to various institutions by the H. C. Frick estate.",11/1/2001 12:07:27
